Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
938,24/05/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 ", R$  -   ," R$  23,50 ",PIX
938,24/05/2025,C3,C3 - CANETA FOFA ESPECIAL,2,AP BRAS OU MERCADO LIVRE," R$  6,00 ", R$  -   ," R$  23,00 ",PIX
937,24/05/2025,348,0348 - NECESSAIRE MEDIA COM ALÇA,1,AP BRAS OU MERCADO LIVRE," R$  17,00 ", R$  -   ," R$  49,00 ",Dinheiro
936,23/05/2025,211,0211 - MARMITA REDONDA MINI - TODO DIA,1,UATT PRESENTES IMPORTADOS," R$  13,06 ", R$  -   ," R$  38,00 ",Cartão de Crédito
935,23/05/2025,411,0411 - KIT COPO AMERICANO HARRY POTTER,1,ALL MIX," R$  17,58 ", R$  -   ," R$  49,00 ",Cartão de Débito
934,22/05/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 "," R$  7,30 "," R$  37,05 ",Cartão de Crédito
934,22/05/2025,236,0236 - COPO AMERICANO FRASES 190ML,1,BRASFOOT," R$  7,98 "," R$  7,30 "," R$  26,60 ",Cartão de Crédito
934,22/05/2025,659,0659 - CANECA TOM 350ML AVÓ,1,ZONA CRIATIVA," R$  34,90 "," R$  7,30 "," R$  75,05 ",Cartão de Crédito
933,21/05/2025,167,0167 - CHAVEIRO EMBORR DIVERSOS M,1,AP BRAS OU MERCADO LIVRE," R$  2,80 ", R$  -   ," R$  8,50 ",Dinheiro
932,21/05/2025,584,0584 - CANECA TOM 350ML CORACAO,1,ZONA CRIATIVA," R$  12,90 ", R$  -   ," R$  69,00 ",Cartão de Crédito
932,21/05/2025,97,0097 - COPO AMERICANO FLORK AMOR,1,ALL MIX," R$  6,53 ", R$  -   ," R$  24,00 ",Cartão de Crédito
931,20/05/2025,662,0662 - GARRAFA TERMICA LIGHT CLUBE COMIX,1,CLUBE COMIX PITICAS," R$  22,90 ", R$  -   ," R$  84,00 ",Cartão de Débito
930,20/05/2025,660,0660 - CANECA TOM 350ML STITCH E ANGEL,1,ZONA CRIATIVA," R$  38,90 ", R$  -   ," R$  84,00 ",Cartão de Crédito
929,20/05/2025,517,0517 - CADERNO DISCO PEQUENO 15X21 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  20,00 ", R$  -   ," R$  62,00 ",Cartão de Crédito
928,20/05/2025,167,0167 - CHAVEIRO EMBORR DIVERSOS M,2,AP BRAS OU MERCADO LIVRE," R$  5,60 "," R$  2,00 "," R$  15,00 ",Dinheiro
927,19/05/2025,220,0220 - COPO CANUDO SLIM PRETO - POA,1,UATT PRESENTES IMPORTADOS," R$  7,50 ", R$  -   ," R$  36,00 ",Cartão de Crédito
